url,kinds,ref_ids,stored_title,status,final_host,redirect_hosts,cross_host_redirect,content_type,page_title,title_match_ratio,title_mismatch,is_pdf,is_challenge,is_login,is_parked,error,elapsed_ms
https://dronexl.co/2026/09/02/gopro-starman-optical-merger-defense-pivot/,item,191,GoPro Sells 90% Of Itself For $285 Million And Pivots To Defense,200,dronexl.co,dronexl.co,False,text/html; charset=utf-8,GoPro Sells 90% Of Itself For $285 Million And Pivots To Defense,1.0,False,False,False,False,False,,174
https://www.dvidshub.net/news/573979/hands-crows-maintenance-course-boosts-soldier-lethality-and-readiness,item,323,Hands-on CROWS maintenance course boosts Soldier lethality and readiness,200,www.dvidshub.net,www.dvidshub.net,False,text/html; charset=UTF-8,DVIDS - News - Hands-on CROWS maintenance course boosts Soldier lethality and readiness,0.93,False,False,False,False,False,,288
https://www.israeldefense.co.il/node/70551,item,113,Easy Aerial השלימה סבב גיוס הון מסדרה B,200,www.israeldefense.co.il,www.israeldefense.co.il,False,text/html; charset=UTF-8,Easy Aerial השלימה סבב גיוס הון מסדרה B | Israel Defense,0.84,False,False,False,False,False,,128
https://breakingdefense.com/2026/09/estonian-defense-minister-resigns-following-ukrainian-ammunition-procurement-scandal/,"item,report_appendix",42;weekly_2026-09-05.md#79,Estonian defense minister resigns following Ukrainian ammo procurement controversy,200,breakingdefense.com,breakingdefense.com,False,text/html; charset=UTF-8,Estonian defense minister resigns following Ukrainian ammo procurement controversy - Breaking Defense,0.91,False,False,False,False,False,,261
https://www.defensenews.com/news/pentagon-congress/2026/09/05/ukraine-asks-eu-to-fund-first-pac-3-patriot-buy/,"item,report_appendix",3043;weekly_2026-09-05.md#136,Ukraine asks EU to fund first Patriot missiles buy,200,www.defensenews.com,www.defensenews.com,False,text/html; charset=utf-8,Ukraine asks EU to fund first Patriot missiles buy,1.0,False,False,False,False,False,,756
https://www.dvidshub.net/news/574021/temporary-flight-restrictions-announced-over-bedminster-new-jersey-weekend,item,2122,"TEMPORARY FLIGHT RESTRICTIONS ANNOUNCED OVER BEDMINSTER, NEW JERSEY THIS WEEKEND",200,www.dvidshub.net,www.dvidshub.net,False,text/html; charset=UTF-8,"DVIDS - News - TEMPORARY FLIGHT RESTRICTIONS ANNOUNCED OVER BEDMINSTER, NEW JERSEY THIS WEEKEND",0.93,False,False,False,False,False,,260
https://dronexl.co/2026/09/03/fcc-drone-ban-comments-3770-against-16-for/,"item,report_appendix",148;weekly_2026-09-05.md#114,"FCC Drone Ban Comments Counted: 3,770 Against, 16 For",200,dronexl.co,dronexl.co,False,text/html; charset=utf-8,"FCC Drone Ban Comments Counted: 3,770 Against, 16 For",1.0,False,False,False,False,False,,80
https://www.dvidshub.net/news/574024/rees-training-center-continues-its-efforts-preserve-western-burrowing-owl-colonies,item,2463,The Rees Training Center continues its efforts to preserve Western Burrowing Owl colonies,200,www.dvidshub.net,www.dvidshub.net,False,text/html; charset=UTF-8,DVIDS - News - The Rees Training Center continues its efforts to preserve Western Burrowing Owl colonies,0.94,False,False,False,False,False,,468
https://www.defensenews.com/opinion/2026/09/03/chinese-military-analysts-cant-wait-for-the-us-navys-battleship-era/,"item,report_appendix",28;weekly_2026-09-05.md#66,Chinese military analysts can’t wait for the US Navy’s battleship era,200,www.defensenews.com,www.defensenews.com,False,text/html; charset=utf-8,Chinese military analysts can’t wait for the US Navy’s battleship era,1.0,False,False,False,False,False,,985
https://sam.gov/workspace/contract/opp/2efc54ee034f4586a0afb6eda089d1a6/view,"item,tender",5121;19,REQUEST FOR INFORMATION (RFI) - Electro Optic/Infrared (EO/IR ...,200,sam.gov,sam.gov,False,text/html; charset=utf-8,Sam Acquisition 360,0.24,True,False,False,False,False,,761
https://www.edrmagazine.eu/aselsans-tolun-munition-family-demonstrates-versatile-deep-strike-capabilities,"item,report_appendix",77;weekly_2026-09-05.md#93,ASELSAN’s TOLUN munition family demonstrates versatile Deep-Strike capabilities,200,www.edrmagazine.eu,www.edrmagazine.eu,False,text/html; charset=UTF-8,ASELSAN’s TOLUN munition family demonstrates versatile Deep-Strike capabilities - EDR Magazine,0.92,False,False,False,False,False,,1443
https://www.cleat.ai/government/contracts/sources-sought-for-infrared-receiver-for-an-vas-5b-driver-s-vision-enhancer-oa4e,"item,report_appendix,tender",5123;21;weekly_2026-09-05.md#138,Sources Sought for Infrared Receiver for… | CLEATUS,200,www.cleat.ai,www.cleat.ai,False,text/html; charset=utf-8,Sources Sought for Infrared Receiver for… | CLEATUS,1.0,False,False,False,False,False,,1361
https://www.usarfp.com/tender/litening-advanced-targeting-pod-3526dc.php,"item,report_appendix,tender",5122;20;daily_2026-09-06.md#2;daily_2026-09-05.md#3;weekly_2026-09-05.md#28,"Litening advanced targeting pod Tender in USA, ID 3483356 - usarfp",200,www.usarfp.com,www.usarfp.com,False,text/html; charset=UTF-8,"Litening advanced targeting pod Tender in USA, ID 3483356",0.94,False,False,False,False,False,,1164
https://www.defenseone.com/policy/2026/09/pentagon-cyber-strategy-expected-soon-next-week-sources-say/415781/,"item,report_appendix",31;weekly_2026-09-05.md#69,"Pentagon cyber strategy expected as soon as next week, sources say",200,www.defenseone.com,www.defenseone.com,False,text/html; charset=utf-8,"Pentagon cyber strategy expected as soon as next week, sources say - Defense One",0.92,False,False,False,False,False,,2047
https://www.dvidshub.net/news/573961/us-polish-first-responders-train-together-mass-casualty-scenarios,item,137,"U.S., Polish First Responders Train Together for Mass Casualty Scenarios",200,www.dvidshub.net,www.dvidshub.net,False,text/html; charset=UTF-8,"DVIDS - News - U.S., Polish First Responders Train Together for Mass Casualty Scenarios",0.93,False,False,False,False,False,,375
https://dronexl.co/2026/09/03/xtend-shapira-interview-nyse-gauntlet-ii/,item,144,"XTEND CEO Signs $1.5B NYSE Deal Mid-Call, Pentagon Score Still Sealed",200,dronexl.co,dronexl.co,False,text/html; charset=utf-8,"XTEND CEO Signs $1.5B NYSE Deal Mid-Call, Pentagon Score Still Sealed",1.0,False,False,False,False,False,,104
https://breakingdefense.com/2026/09/army-awards-192m-to-palantir-and-anduril-to-produce-titan-system/,item,57,Army awards $192M to Palantir and Anduril to produce TITAN system,200,breakingdefense.com,breakingdefense.com,False,text/html; charset=UTF-8,Army awards $192M to Palantir and Anduril to produce TITAN system - Breaking Defense,0.88,False,False,False,False,False,,307
https://breakingdefense.com/2026/09/army-awards-first-ever-laser-production-contract-to-av-with-465m-value/,item,52,"Army awards first-ever laser production contract to AV, with $465M value",200,breakingdefense.com,breakingdefense.com,False,text/html; charset=UTF-8,"Army awards first-ever laser production contract to AV, with $465M value - Breaking Defense",0.89,False,False,False,False,False,,223
https://www.navalnews.com/naval-news/2026/09/us-navy-certifies-rolls-royce-mtu-engines-for-autonomous-ships/,"item,report_appendix",13;daily_2026-09-05.md#8;weekly_2026-09-05.md#52,US Navy Certifies Rolls-Royce mtu Engines for Autonomous Ships,200,www.navalnews.com,www.navalnews.com,False,text/html; charset=UTF-8,US Navy Certifies Rolls-Royce mtu Engines for Autonomous Ships - Naval News,0.92,False,False,False,False,False,,491
https://en.globes.co.il/en/article-rafael-vw-talks-continue-despite-qatari-opposition-report-1001549554,item,168,"Negotiations to turn the Volkswagen plant in Osnabrück, Germany, into a Rafael plant to produce trucks and other parts f",200,en.globes.co.il,en.globes.co.il,False,text/html; charset=windows-1255,Rafael-VW talks continue despite Qatari opposition - report - Globes,0.23,True,False,False,False,False,,335
https://dronexl.co/2026/09/01/dji-booth-903-fcc-covered-list-panel-uav-expo/,item,213,DJI Sets Up At Booth 903 With $1.56 Billion Stuck At The FCC,200,dronexl.co,dronexl.co,False,text/html; charset=utf-8,DJI Sets Up At Booth 903 With $1.56 Billion Stuck At The FCC,1.0,False,False,False,False,False,,146
https://www.israeldefense.co.il/node/70514,"item,report_appendix",120;weekly_2026-09-05.md#105,הצי האמריקאי מחפש כטב״מים חמושים לנושאות מטוסים,200,www.israeldefense.co.il,www.israeldefense.co.il,False,text/html; charset=UTF-8,הצי האמריקאי מחפש כטב״מים חמושים לנושאות מטוסים | Israel Defense,0.86,False,False,False,False,False,,71
https://breakingdefense.com/2026/09/wet-tees-on-sat-links-armys-desert-trial-reveals-commercial-tech-challenges-opportunities/,item,606,"Wet tees on Starlink: Army’s desert trial reveals commercial tech challenges, opportunities",200,breakingdefense.com,breakingdefense.com,False,text/html; charset=UTF-8,"Wet tees on Starlink: Army&#039;s desert trial reveals commercial tech challenges, opportunities - Breaking Defense",0.89,False,False,False,False,False,,429
